Verb,,begrüßen,ich begrüße / ich begrüßte / ich habe begrüßt,pozdraviti,/
Verb,,beheben ,,otkloniti / odstraniti / ukloniti,/
Substantiv,die,Behörde,<Behörde; -n>,vlast / uprava,/
Präposition,,bei,Dativ,kod,/
Substantiv,die,Beichte,,ispovijed,/
,,beide ,,oba / obje / oboje,/
Substantiv,der,Beifahrersitz,<-es; -e>,suvozačko sjedalo,/
Substantiv,die,Beilage,<Beilage; -n>,prilog,/
Substantiv,das,Bein,<-(e)s; -e>,noga,/
Adverb,,beinahe,,skoro/gotovo/bezmalo,/
Substantiv,das,Beispiel,<-(e)s; -e>,primjer,/
Substantiv,der,Beitrag,<-(e)s; Beiträge>,doprinos(novčani),/
Adjektiv,,bekannt,,poznat,/
Verb,,bekommen,ich bekomme / ich bekam / ich habe bekommen,dobiti/primiti,/
Adjektiv,,belastbar,,izdržljiv / otporan na stres / žilav,/
Adjektiv,,beliebt,,omiljeni,/
Adjektiv,,belustigt,,podrugljiv,/
Verb,,bemerken,,primjetiti,/
Verb,,benachrichtigen,ich benachrichtige / ich benachrichtigte / ich habe benachrichtigt,obavijestiti,/
Adjektiv,,benötigt ,,potreban / zahtjevan / obavezan,/
Verb,,benutzen,ich benutze / ich benutzte / ich habe benutzt,iskoristiti / upogoniti,/
Substantiv,das,Benutzerkonto,<-s; -ten>,korisnički račun,/
Verb,,beobachten,ich beobachte / ich beobachtete / ich habe beobachtet,promatrati/motriti,/
Substantiv,der,Beobachtungsposten,<-s; ->,osmatračnica,/
Adjektiv,,bequem,,udoban,/
Verb,,beraten,ich berate / ich beriet / ich habe beraten,savjetovati,/
Substantiv,das,Beratungsgespräch,<-(e)s; -e>,konzultacije / savjetovanje,/
Verb,,berechnen,,naplaćivati,/
Adjektiv,,berechnend,,proračunat,/
Substantiv,die,Berechnung,<Berechnung; -en>,proračun / obračun,/
Substantiv,der,Bereich,<-(e)s; -e>,područje / domašaj / domet,/
Verb,,bereisen,,putovati,/
Adjektiv,,bereit,,spreman,/
Adverb,,bereits,,već,/
Verb,,bereitstellen ,,depolyati,/
Substantiv,die,Bereitstellung,<Bereitstellung>,stavljanje na raspolaganje / deployanje,/
Substantiv,der,Berg,<-(e)s; -e>,brdo/gora,/
Adverb,,bergab,,nizbrdo,/
Adverb,,bergauf,,uzbrdo,/
Substantiv,der,Berghang,<-(e)s; Berghänge>,padina planine/obronak,/
Substantiv,die,Berghütte,<Berghütte; -n>,planinska koliba/planinarski dom,/
Substantiv,der,Bericht,<-(e)s; -e>,izvješće / izvještaj,/
Verb,,berichten,,izvještavati,/
Substantiv,der,Bergsteiger,<-s; Bergsteiger>,planinar,/
Substantiv,der,Beruf,<-(e)s; -e>,zanimanje/profesija/poziv/zvanje,/
,,beruflich,,profesionalno,/
Substantiv,der,Berufsalltag,<-(e)s>,svakodnevica na poslu/poslovna rutina,/
Substantiv,die,Berufschancen,pl.,prospekti za posao,/
Adjektiv,,berufseinschlägig,,profesionalno relevantan,/
Substantiv,die,Berufserfahrung,<Berufserfahrung; -en>,radno iskustvo,/
Substantiv,die,Berufserfahrung,<Berufserfahrung; -en>,profesionalno iskustvo,/
Substantiv,die,Berufsschule,<Berufsschule; -n>,strukovna škola,/
Adjektiv,,berufstätig,,zaposlen,/
Verb,,berühren,ich berühre / ich berührte / ich habe berührt,dirati,/
Substantiv,die,Berührung,<Berührung; -en>,dodir,/
Verb,,beschäftigen,ich beschäftige / ich beschäftigte / ich habe beschäftigt,zaokupljati/baviti se/zaposliti,/
Adjektiv,,beschäftigt,,zauzet poslom,/
,die,Beschäftigung,<Beschäftigung; -en>,zaposlenje,/
Adjektiv,,beschlagen,,zamagljen,/
Verb,,beschreiben,ich beschreibe / ich beschrieb / ich habe beschrieben,opisati,/
Substantiv,die,Beschreibung,<Beschreibung; -en>,opis,/
Substantiv,der,Beschuldigte,<-n; -n>,okrivljenik/optuženik,
Substantiv,die,Beschuldigte,<-n; -n>,okrivljenica/optuženica,/
Substantiv,die,Beschwerde,<Beschwerde; -n>,žalba / pritužba,/
Substantiv,das,Beschwerdemanagement,<-s; -s>,upravljanje pritužbama,/
Verb,,besetzen ,,podijeliti uloge / zauzeti / zaposjednuti / opšiti,/
Verb,,besitzen ,,posjedovati / imati,/
Substantiv,der,Besitzer,<-s; Besitzer>,vlasnik/posjednik/gazda,/
Substantiv,die,Besitzerin,<Besitzerin; -innen>,vlasnica/posjednica/gazdarica,/
,,besonders,,naročito,/
Verb,,besorgen,,pobrinuti se,/
Substantiv,der,Bestand,<-(e)s; Bestände>,postojanje/stanje/trajanje/zaliha/skup,/
Verb,,bestätigen,ich bestätige / ich bestätigte / ich habe bestätigt,potvrditi,/
Substantiv,die,Bestätigung,<Bestätigung; -en>,potvrda,/
Verb,,bestäuben,ich bestäube / ich bestäubte / ich habe bestäubt,zaprašiti,/
Substantiv,das,Besteck,<-(e)s; -e>,pribor za jelo,/
Verb,,bestehen,ich bestehe / ich bestand / ich habe bestanden,postojati / biti / položiti,/
Adjektiv,,bestehend ,,postojeći / trenutni,/
Verb,,bestellen,,naručiti,/
Substantiv,die,Bestellung,<Bestellung; -en>,narudžba,/
Adverb,,bestimmt,,sigurno,/
Verb,,bestreuen,ich bestreue / ich bestreute / ich habe bestreut,škropiti/posipati,/
Substantiv,der,Besuch,<-(e)s; -e>,posjeta/gosti,/
Verb,,besuchen,ich besuche / ich besuchte / ich habe besucht,pohađati/posjetiti,/
Verb,,betäuben,ich betäube / ich betäubte / ich habe betäubt,omamiti/zaglušiti,/
Substantiv,der,Beton,"<-s; -s, -e>",beton,/
Substantiv,der,Betonbunker,<-s; ->,betonski bunker,/
Substantiv,der,Betrag,<-(e)s; Beträge>,iznos/svota,/
Substantiv,der,Betreff,<Betreffe / pl>,predmet (e-mail),/
Substantiv,der,Betrieb,<-(e)s; -e>,pogon / promet / tvornica / poduzeće / firma,/
Substantiv,das,Betriebsfest,<Betriebsfester; Betriebsfestest>,domjenak / zabava u poduzeću,/
Substantiv,das,Bett,<-(e)s; -en>,krevet/korito,/
Substantiv,die,Bettdecke,,prekrivač,/
Substantiv,das,Bettuch,,plahta za krevet,/
Adjektiv,,beunruhigend,,uznemirujuć,/
Verb,,beurteilen,,procijeniti / prosuditi,/
Substantiv,die,Bevölkerung,<Bevölkerung; -en>,stanovništvo,/
